Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
417,212063,62,17.75,2133,22.94
418,212669,472,125.87,2139,23.15
419,212981,127,24.18,2145,23.15
420,213233,133,24.73,2150,23.05
421,213256,345,64.98,2156,22.94
422,213767,71,19.06,2161,22.94
423,214102,112,22.94,2166,23.15
424,214140,253,43.55,2171,23.05
425,214165,51,15.86,2177,23.15
426,215212,345,64.98,2182,23.15
427,215221,61,17.60,2187,22.83
428,215866,323,58.48,2193,23.05
429,215970,249,42.85,2198,23.15
430,216065,71,19.06,2204,23.15
431,216151,133,24.73,2209,22.94
432,217456,115,23.18,2215,23.05
433,218157,53,16.22,2220,23.15
434,218536,63,17.91,2225,23.05
435,218995,51,15.86,2231,23.05
436,220727,96,21.67,2236,22.83
437,220987,60,17.43,2241,23.05
438,221846,97,21.75,2247,23.15
439,222195,231,39.55,2252,22.94
440,222210,67,18.51,2257,23.05
441,222743,344,64.67,2263,23.26
442,222909,78,19.92,2268,23.05
443,223062,60,17.43,2273,23.05
444,223488,94,21.50,2279,23.15
445,223646,399,87.30,2284,22.72
446,223794,67,18.51,2289,23.05
447,224064,403,88.99,2295,22.83
448,224188,56,16.76,2300,22.83
449,224642,60,17.43,2305,22.83
450,224852,94,21.50,2311,22.94
451,225373,51,15.86,2316,22.83
452,227222,216,36.85,2321,23.15
453,227329,63,17.91,2326,23.05
454,227549,71,19.06,2332,23.05
455,228098,69,18.79,2337,22.94
456,230053,142,25.64,2343,22.83
457,230609,216,36.85,2348,22.72
458,231964,248,42.69,2353,22.72
459,232286,536,160.18,2359,22.94
460,232469,240,41.21,2365,22.94
461,232873,282,49.11,2371,22.94
462,233682,63,17.91,2377,23.05
463,233737,377,76.28,2383,23.15
464,234944,71,19.06,2388,22.83
465,236015,188,32.01,2393,23.05
466,237010,60,17.43,2398,22.94
467,237027,71,19.06,2404,22.83
468,238246,103,22.23,2409,22.83
469,238384,79,20.03,2414,23.15
470,239723,79,20.03,2419,22.51
471,239883,79,20.03,2424,22.72
472,240685,52,16.04,2429,22.94
473,240863,156,27.28,2434,22.83
474,241863,75,19.57,2439,22.83
475,241940,227,38.83,2444,23.05
476,242536,121,23.66,2449,22.62
477,242627,69,18.79,2455,22.62
478,243033,60,17.43,2461,22.62
479,243762,89,21.05,2467,22.94
480,243982,114,23.10,2472,22.83
481,245221,71,19.06,2477,22.83
482,246238,75,19.57,2482,22.94
483,246612,73,19.32,2487,22.83
484,247789,68,18.65,2492,22.94
485,248444,440,109.25,2498,22.94
486,249942,140,25.42,2503,22.83
487,251276,85,20.67,2509,22.94
488,251310,287,50.23,2514,23.15
489,251506,167,28.76,2519,22.83
490,251776,53,16.22,2524,22.94
491,252145,63,17.91,2529,22.94
492,252719,56,16.76,2535,22.72
493,253173,254,43.77,2540,22.94
494,253704,83,20.46,2545,23.05
495,254027,71,19.06,2550,22.72
496,254062,218,37.23,2555,22.83
