Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
340,202669,92,21.32,1733,22.83
341,202807,147,26.19,1738,22.94
342,203128,295,51.75,1743,22.72
343,203201,156,27.28,1748,22.83
344,203586,238,40.82,1753,22.94
345,203759,62,17.75,1759,22.72
346,203784,56,16.76,1765,22.72
347,203816,133,24.73,1771,22.62
348,203971,99,21.91,1777,22.94
349,204375,76,19.69,1782,22.83
350,204777,352,66.89,1787,22.72
351,205033,423,97.36,1792,22.72
352,205460,195,33.17,1797,22.72
353,206858,79,20.03,1802,22.72
354,208165,103,22.23,1807,22.72
355,208202,79,20.03,1812,22.83
356,209605,60,17.43,1817,22.83
357,209961,167,28.76,1823,22.62
358,210215,62,17.75,1828,22.83
359,210377,241,41.39,1834,22.62
360,212666,608,202.86,1840,22.62
361,213071,57,16.93,1845,22.62
362,213712,143,25.74,1850,22.51
363,216418,93,21.41,1855,22.72
364,216571,255,43.96,1860,22.72
365,217134,67,18.51,1865,22.62
366,217649,307,54.48,1871,22.51
367,217981,101,22.08,1876,22.51
368,218626,179,30.55,1881,22.72
369,218830,121,23.66,1886,22.40
370,218930,415,95.00,1892,22.51
371,219300,88,20.96,1897,22.83
372,220185,463,119.23,1902,22.51
373,220694,96,21.67,1908,22.62
374,221142,412,92.93,1913,22.51
375,221430,220,37.58,1918,22.72
376,222182,396,85.28,1923,22.72
377,222468,60,17.43,1928,22.72
378,223777,56,16.76,1934,22.51
379,223981,172,29.49,1939,22.51
380,226054,140,25.42,1944,22.51
381,227395,216,36.85,1950,22.40
382,227409,62,17.75,1955,22.62
383,228347,355,68.30,1961,22.72
384,229450,63,17.91,1966,22.40
385,231112,56,16.76,1972,22.62
386,232460,332,61.17,1977,22.62
387,233552,335,61.77,1982,22.51
388,233895,142,25.64,1987,22.51
389,234427,305,53.88,1992,22.51
390,234804,312,55.68,1997,22.51
391,235468,83,20.46,2002,22.51
392,235918,319,57.64,2007,22.72
393,236124,243,41.74,2012,22.72
394,236711,263,45.37,2018,22.51
395,237500,83,20.46,2024,22.62
396,238984,61,17.60,2029,22.72
397,239862,384,80.08,2035,22.62
398,240210,103,22.23,2040,22.83
399,240369,56,16.76,2045,22.72
400,240931,79,20.03,2050,22.72
401,241976,63,17.91,2055,22.72
402,242395,60,17.43,2061,22.72
403,243002,51,15.86,2067,22.72
404,243654,57,16.93,2072,22.62
405,244121,88,20.96,2077,22.62
406,245549,92,21.32,2082,22.51
407,245624,96,21.67,2087,22.62
408,246694,61,17.60,2092,22.62
409,247100,76,19.69,2098,22.72
410,248400,319,57.64,2103,22.72
411,248774,79,20.03,2108,22.72
412,249214,79,20.03,2113,22.72
413,249238,345,64.98,2118,22.72
414,249359,140,25.42,2123,22.72
415,250126,71,19.06,2129,22.62
416,250789,99,21.91,2134,22.62
417,251261,63,17.91,2139,22.51
418,251438,398,85.63,2145,22.72
419,251537,69,18.79,2150,22.51
420,252792,472,125.87,2156,22.83
421,254156,51,15.86,2162,22.62
422,254468,348,65.64,2167,22.51
423,254750,56,16.76,2172,22.72
424,254853,97,21.75,2177,22.72
425,255650,56,16.76,2182,22.62
426,255679,94,21.50,2187,22.72
427,255858,76,19.69,2192,22.62
428,256006,134,24.82,2197,22.72
429,256222,93,21.41,2203,22.72
430,256505,79,20.03,2208,22.51
431,256727,99,21.91,2213,22.51
432,257369,56,16.76,2218,22.51
433,258012,307,54.48,2223,22.72
434,258489,57,16.93,2228,22.51
435,259303,70,18.93,2233,22.83
436,259331,307,54.48,2239,22.83
437,260326,88,20.96,2244,22.51
438,261374,380,78.12,2249,22.72
439,262755,450,114.31,2254,22.51
440,262761,79,20.03,2259,22.62
441,262921,205,34.91,2264,22.62
442,264519,94,21.50,2269,22.62
443,264583,76,19.69,2274,22.40
444,265304,204,34.73,2279,22.72
445,265895,94,21.50,2284,22.72
446,266355,483,132.60,2289,22.40
447,266756,440,109.25,2295,22.51
448,267486,368,72.93,2300,22.62
449,268340,284,49.41,2305,22.51
450,268657,69,18.79,2310,22.62
451,269125,79,20.03,2316,22.40
452,269587,67,18.51,2321,22.72
453,269693,96,21.67,2327,22.62
454,270673,71,19.06,2332,22.51
