Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
382,196936,56,16.76,1946,22.94
383,197315,92,21.32,1951,23.05
384,199696,231,39.55,1956,23.26
385,199736,71,19.06,1961,23.15
386,199921,178,30.40,1966,23.15
387,202986,81,20.25,1971,23.05
388,204239,57,16.93,1976,22.94
389,205286,131,24.54,1981,22.83
390,206402,295,51.75,1987,23.15
391,206740,355,68.30,1992,23.15
392,206834,63,17.91,1997,23.15
393,207070,198,33.69,2003,22.83
394,207331,67,18.51,2008,23.05
395,208015,174,29.79,2014,23.05
396,209292,77,19.81,2019,23.05
397,209379,108,22.63,2024,23.05
398,209398,71,19.06,2029,23.05
399,209541,83,20.46,2034,23.05
400,209948,73,19.32,2039,23.15
401,210235,60,17.43,2044,23.15
402,210299,83,20.46,2050,22.94
403,210433,69,18.79,2055,23.15
404,210777,76,19.69,2060,22.94
405,211443,76,19.69,2065,22.94
406,212014,167,28.76,2070,23.15
407,212858,63,17.91,2075,23.15
408,212904,83,20.46,2081,23.15
409,213223,96,21.67,2086,23.05
410,214940,120,23.58,2091,22.94
411,215076,53,16.22,2097,23.05
412,215407,62,17.75,2102,23.15
413,216814,99,21.91,2108,23.15
414,217308,83,20.46,2113,23.05
415,217484,81,20.25,2118,23.15
416,217597,83,20.46,2123,23.15
417,218909,96,21.67,2128,23.15
418,219048,291,50.97,2133,23.15
419,219413,316,56.81,2138,22.94
420,220004,77,19.81,2143,23.15
421,220377,53,16.22,2148,23.15
422,220433,142,25.64,2153,23.15
423,220526,220,37.58,2158,23.15
424,220803,76,19.69,2163,23.05
425,221136,156,27.28,2168,23.15
426,221652,63,17.91,2173,23.05
427,222488,96,21.67,2179,23.05
428,222698,299,52.61,2184,23.15
429,223066,159,27.66,2189,23.15
430,223660,142,25.64,2194,23.15
431,223768,147,26.19,2199,23.15
432,224168,124,23.92,2204,22.94
433,224276,213,36.33,2210,23.15
434,224463,185,31.51,2215,23.15
435,224651,483,132.60,2220,23.05
436,225296,302,53.30,2226,23.15
437,225497,71,19.06,2231,23.05
438,226756,149,26.42,2236,23.15
439,226803,93,21.41,2241,23.15
440,226928,71,19.06,2246,23.15
441,227150,222,37.96,2251,23.05
442,227679,275,47.73,2256,23.15
443,228652,88,20.96,2262,23.15
444,228718,97,21.75,2267,23.15
445,228729,49,15.48,2272,23.15
446,228813,96,21.67,2277,23.15
447,229521,49,15.48,2282,23.05
448,230181,76,19.69,2287,23.05
449,230331,275,47.73,2292,23.15
450,230775,59,17.27,2298,22.94
451,231105,337,62.30,2303,23.05
452,232117,280,48.67,2308,23.05
453,232365,79,20.03,2314,23.05
454,232454,403,88.99,2319,23.05
455,232861,167,28.76,2324,23.15
456,233280,135,24.92,2329,23.05
457,234109,115,23.18,2335,23.05
458,235374,79,20.03,2340,22.94
459,235778,96,21.67,2345,23.05
460,236071,51,15.86,2350,23.15
461,236580,77,19.81,2355,23.15
462,236704,87,20.86,2360,23.15
463,237598,96,21.67,2365,23.15
464,237707,335,61.77,2370,22.94
465,237861,73,19.32,2375,23.05
466,238710,97,21.75,2380,23.15
467,238893,60,17.43,2385,23.15
468,239224,63,17.91,2391,23.15
469,240604,127,24.18,2397,22.94
470,240662,224,38.29,2402,23.15
471,240770,62,17.75,2407,23.05
472,241014,231,39.55,2413,23.05
473,241958,49,15.48,2418,23.05
474,243653,70,18.93,2423,22.94
475,243867,281,48.90,2429,22.83
476,243878,88,20.96,2435,23.15
477,244660,60,17.43,2440,23.05
478,245836,78,19.92,2446,22.94
479,245978,66,18.36,2451,23.05
480,246164,67,18.51,2457,23.05
481,246550,95,21.58,2463,23.05
482,246582,79,20.03,2468,23.05
483,247229,184,31.36,2473,23.15
484,247405,51,15.86,2478,22.94
485,247791,157,27.40,2483,23.15
486,248780,103,22.23,2488,23.15
487,249249,103,22.23,2493,22.94
488,249462,69,18.79,2498,23.05
489,250990,225,38.48,2504,23.15
490,251291,226,38.63,2509,23.05
491,252002,79,20.03,2514,22.83
492,253088,88,20.96,2519,23.05
493,253422,192,32.67,2524,23.15
494,254605,193,32.84,2529,23.15
495,254818,178,30.40,2534,22.94
496,255141,67,18.51,2539,22.94
497,255627,88,20.96,2545,23.05
498,255720,56,16.76,2550,23.05
499,256346,57,16.93,2555,23.15
500,256429,440,109.25,2560,23.05
501,258668,88,20.96,2565,23.05
502,258961,121,23.66,2570,23.05
503,259283,263,45.37,2576,22.94
504,259311,71,19.06,2582,22.94
505,259344,193,32.84,2588,23.37
506,261136,96,21.67,2593,23.15
507,261301,67,18.51,2598,22.83
508,261907,51,15.86,2604,23.15
509,262033,440,109.25,2609,23.15
510,262112,115,23.18,2614,23.15
511,262536,207,35.26,2619,23.15
512,262905,83,20.46,2624,23.15
513,263435,63,17.91,2629,23.15
514,263560,263,45.37,2635,23.15
515,263756,316,56.81,2641,23.15
516,263988,96,21.67,2646,23.15
517,264212,85,20.67,2651,23.15
518,266156,295,51.75,2656,23.15
519,266252,134,24.82,2661,23.48
520,266322,291,50.97,2667,23.15
521,267034,51,15.86,2672,23.15
522,267141,56,16.76,2677,23.15
523,267404,355,68.30,2682,23.15
524,267517,391,82.35,2687,23.15
525,268052,71,19.06,2692,23.37
526,268620,135,24.92,2697,23.15
527,269159,184,31.36,2703,23.05
528,270278,58,17.10,2708,23.15
529,270934,127,24.18,2713,23.15
530,271195,159,27.66,2718,23.15
531,272271,103,22.23,2723,23.15
532,272818,112,22.94,2728,23.15
533,272871,316,56.81,2733,23.05
534,273078,79,20.03,2738,23.15
