Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
584,271358,115,23.18,3015,23.48
585,271811,76,19.69,3020,23.80
586,272887,51,15.86,3025,23.58
587,272944,399,87.30,3030,23.37
588,273309,69,18.79,3035,23.69
589,273323,88,20.96,3041,23.48
590,273762,316,56.81,3046,23.48
591,273846,102,22.15,3051,23.58
592,274497,78,19.92,3056,23.15
593,274756,255,43.96,3061,23.37
594,274867,455,117.03,3066,23.58
595,275140,217,37.04,3071,23.69
596,275988,79,20.03,3076,23.37
597,276312,97,21.75,3081,23.48
598,276533,403,88.99,3086,23.15
599,277764,53,16.22,3091,23.58
600,278265,255,43.96,3096,23.48
601,278546,153,26.90,3101,23.37
602,278579,71,19.06,3106,23.48
603,279044,56,16.76,3111,23.48
604,279190,92,21.32,3116,23.37
605,279346,56,16.76,3121,23.58
606,279921,176,30.09,3126,23.37
607,280006,83,20.46,3131,23.69
608,281384,281,48.90,3136,23.37
609,281469,66,18.36,3142,23.48
610,281632,267,46.14,3148,23.80
611,282432,71,19.06,3154,23.48
612,283075,81,20.25,3159,23.58
613,283672,88,20.96,3164,23.58
614,284234,195,33.17,3169,23.69
615,284421,131,24.54,3174,23.80
616,284568,94,21.50,3180,23.15
617,285648,71,19.06,3185,23.48
618,285767,127,24.18,3190,23.37
619,285839,53,16.22,3195,23.48
620,286124,108,22.63,3200,23.58
621,286289,56,16.76,3205,23.69
622,286663,96,21.67,3210,23.48
623,286790,57,16.93,3215,23.37
624,287612,57,16.93,3220,23.58
625,288270,102,22.15,3225,23.15
626,288360,103,22.23,3230,23.58
627,288429,327,59.28,3235,23.15
628,288745,287,50.23,3240,23.58
629,288942,97,21.75,3245,23.37
630,289043,112,22.94,3250,23.58
631,289978,387,81.05,3255,23.58
632,289998,79,20.03,3260,23.48
633,290084,99,21.91,3265,23.48
634,290196,387,81.05,3270,23.37
635,291099,50,15.67,3275,23.58
636,291109,89,21.05,3280,23.80
637,291411,76,19.69,3285,23.37
638,291697,231,39.55,3290,23.37
639,291932,376,76.43,3295,23.48
640,292133,195,33.17,3300,23.15
641,292516,120,23.58,3305,23.48
642,292829,71,19.06,3311,23.48
643,294150,236,40.44,3316,23.58
644,294375,300,52.79,3322,23.15
645,294726,96,21.67,3327,23.58
646,294952,83,20.46,3332,23.91
647,295718,63,17.91,3337,23.37
648,295952,326,59.13,3343,23.37
649,296983,127,24.18,3348,23.37
650,297048,441,109.77,3353,23.37
651,297715,601,200.55,3358,23.15
652,297749,81,20.25,3363,23.15
653,298349,380,78.12,3368,23.37
654,298765,112,22.94,3373,23.80
655,299308,155,27.15,3378,23.58
